,time,pos,vel,torque
134,1.34,(2.555768658698316-1.2305951594743253e-16j),(-5.308325493808128-2.8150130909828613e-16j),(-2.8465324299077213-6.085890295513723e-16j)
135,1.35,(2.5047718992004047+9.094947017729283e-17j),(-5.2525868013976345+2.4273775086840248e-17j),(-2.7894474859174+1.3606195901462487e-17j)
136,1.36,(2.4520945589073113+1.912585158171336e-16j),(-5.685108967536077-7.238573882800373e-16j),(-2.7170007213487897-2.5242134304337225e-16j)
137,1.37,(2.3977825139029827+2.060118611760764e-16j),(-5.522183932795675-2.37630776059342e-16j),(-2.627508343589079-3.6092681354742433e-16j)
138,1.3800000000000001,(2.3418828556635005+1.2842708031729027e-16j),(-6.056181788021237+3.03863644101866e-16j),(-2.519603524133119-2.7215220964098256e-17j)
139,1.3900000000000001,(2.28444384398344-1.0706526605013462e-16j),(-5.744395114882699+3.830208689423769e-16j),(-2.392278039428043-4.545899792944125e-17j)
140,1.4000000000000001,(2.2255148587145097+3.1831004285725635e-16j),(-6.412688671368643-1.0043517254563101e-16j),(-2.244916855369617-4.901828318270253e-16j)
141,1.41,(2.165146350366746+2.2737367544323206e-16j),(-5.927671428318891+5.365741437159757e-16j),(-2.077324916280832-8.441829649710673e-16j)
142,1.42,(2.103389789624117-2.810493191418095e-17j),(-6.742970713333796+1.1621096832658834e-16j),(-1.8897455530709522+1.3394890877414357e-16j)
143,1.43,(2.0402976158280124+2.1798789445414703e-16j),(-6.083297452313177+4.231660615858742e-16j),(-1.682870090468984-1.595095101060776e-16j)
144,1.44,(1.9759231844835246-1.1506239099878355e-16j),(-7.034109825185612+3.181302281978982e-16j),(-1.4578384064901166+7.069240393498732e-17j)
145,1.45,(1.910320713844966+5.4834310551194373e-17j),(-6.22367373622925-1.0426826102763993e-16j),(-1.216230375219963-1.7899356971325503e-16j)
146,1.46,(1.8435452306383493+5.4834310551194373e-17j),(-7.2737687590764635+7.518695365051829e-16j),(-0.9600483031023999-8.671798823964175e-18j)
147,1.47,(1.7756525149799396+1.0030904563984079e-16j),(-6.360416455055218+4.681317331465934e-16j),(-0.6916906456934488-6.998651972291295e-17j)
148,1.48,(1.7066990445511934+7.757167809551758e-17j),(-7.452056848033543-2.839947131635724e-16j),(-0.4139174628539726+8.535642310459213e-18j)
149,1.49,(1.6367419380915693+3.209694300687116e-17j),(-6.502554094953666+4.442815196243734e-16j),(-0.12980823227949878-2.4851390125398597e-16j)
150,1.5,(1.5658388982718077-6.422009154027941e-17j),(-7.5631427659312545+4.908691006909165e-16j),(0.1572872090233401-3.347835837000049e-16j)
151,1.51,(1.4940481540112622+5.3458757274026824e-17j),(-6.655089647593195+9.331615236958925e-16j),(0.4438036910889803+6.187614869811917e-17j)
152,1.52,(1.4214284023038308+3.209694300687116e-17j),(-7.606367839635863+5.569378426174931e-16j),(0.7260206840061614+1.1764102506061414e-16j)
153,1.53,(1.3480387496178816+5.745076836671704e-17j),(-6.818145842308496+2.1610511174536771e-16j),(1.0001260993782937+1.0859508341429769e-16j)
154,1.54,(1.2739386529363212+1.5846069340841013e-16j),(-7.586682268631411+3.898649731435114e-16j),(1.2622827266950736+2.922278270229968e-17j)
155,1.55,(1.1991878605036783+6.821210263296962e-17j),(-6.986827671342966+3.636157519317606e-16j),(1.5086960588808+3.453414370833463e-16j)
156,1.56,(1.1238463523476387+2.2737367544323207e-17j),(-7.514322196775351+6.469702460887869e-16j),(1.73568223315297+2.033873054075072e-16j)
157,1.57,(1.047974280643018+9.094947017729283e-17j),(-7.151832881111987+1.5527054827168157e-16j),(1.9397348097317093-1.8851550721584505e-16j)
158,1.58,(0.9716319099865418+1.4179176963579698e-16j),(-7.40375414950059+7.814788729410557e-16j),(2.1175891318795363-2.397747780606156e-16j)
159,1.59,(0.8948795576511815-1.050019361343833e-16j),(-7.300732239811383+1.2683165766560373e-15j),(2.266283055738332-2.5327619833308782e-17j)
160,1.6,(0.8177775338889915+1.739344399537263e-16j),(-7.272019157740705+2.358059801836564e-16j),(2.3832129065175756-4.44469029786123e-16j)
161,1.61,(0.740386082351586+2.0628393302557478e-16j),(-7.419743101654869+7.24102959397657e-16j),(2.4661836073816468-2.6257008943153744e-16j)
162,1.62,(0.6627653206974096+1.3982838863724147e-16j),(-7.136696536297184+6.360645463438732e-17j),(2.513452037075807-5.223911475825668e-16j)
163,1.6300000000000001,(0.5849751814549494+2.7273947741390808e-16j),(-7.495746436254676-1.1402835862559783e-17j),(2.523762799733603-8.22319376452385e-16j)
164,1.6400000000000001,(0.5070753532108895+2.1589605855310008e-16j),(-7.013763954350806+3.9756241112167434e-17j),(2.4963757329024965-4.995448469202733e-16j)
165,1.6500000000000001,(0.429125222191972+1.9315869100877687e-16j),(-7.5182598584270135+5.39978327087278e-16j),(2.431084634806249-5.22741587283493e-16j)
166,1.6600000000000001,(0.35118381430903495+2.5434456066320125e-16j),(-6.915647773199251+3.637637286187731e-16j),(2.328226856201691-4.725739617003041e-16j)
167,1.67,(0.27330973773124134+2.5434456066320125e-16j),(-7.481082895584936+5.540010543054539e-16j),(2.188683572687153-4.585214957432136e-16j)
168,1.68,(0.19556112605803327+2.386334260974233e-16j),(-6.849732959317418+5.513470108594396e-16j),(2.013870726679813-3.7318109651873427e-16j)
169,1.69,(0.11799558215571611+1.6339509048590844e-16j),(-7.383375392239886+1.8186478826418747e-16j),(1.805720801160473+8.717532532054341e-17j)
170,1.7,(0.04067012272488469+3.452940308404941e-16j),(-6.817538621021578+8.31112721251893e-16j),(1.5666557563749424-3.220972904772743e-16j)
171,1.71,(-0.03635887633590419+7.689700422020235e-17j),(-7.230009252630582+3.763653703654288e-16j),(1.299551622760141-2.573983043335773e-16j)
172,1.72,(-0.11303573370568457+3.225566632961709e-16j),(-6.814672372654523+3.877340541375904e-16j),(1.0076953953629908-1.5942260117773927e-16j)
173,1.73,(-0.18930551549232666+1.547101888986757e-16j),(-7.0311363057652505+2.633120876762589e-16j),(0.6947350140861405-6.847313100044644e-17j)
174,1.74,(-0.26511408709701806+2.6839702662029173e-16j),(-6.8315676046456755+6.037390458086608e-16j),(0.36462333763855076-7.442557009901811e-16j)
175,1.75,(-0.340408164030674+3.452940308404941e-16j),(-6.801026193406052+5.822687883292299e-16j),(0.021557124818792364-5.658698771248681e-16j)
176,1.76,(-0.4151353616222447+1.7207999207314118e-16j),(-6.854898001906796+4.98910801982132e-16j),(-0.33008787719920896-2.274660353418801e-16j)
177,1.77,(-0.4892442435602183+5.4159636675879144e-17j),(-6.556331829753097+3.893911952036693e-16j),(-0.6858245730948298-3.3680387088824546e-16j)
178,1.78,(-0.5626843692100434+1.1368683772161603e-16j),(-6.86946907235755+4.0859488683728536e-16j),(-1.0411236811752396-3.220972904772743e-16j)
179,1.79,(-0.6354063396517273+4.275585994305542e-16j),(-6.3140212309509085+1.0288217074525389e-15j),(-1.3914831902299885-3.7625037577151926e-16j)
180,1.8,(-0.7073618423834315+5.044556036507566e-16j),(-6.860320595043603+1.0013041133540508e-15j),(-1.7324968887015515-2.8393190369869314e-16j)
181,1.81,(-0.7785036946385899+4.0927261579781775e-16j),(-6.089261669525874+1.317428899920567e-16j),(-2.0599207700678206-4.890275844164985e-16j)
182,1.82,(-0.8487858852658118+4.0813856910360594e-16j),(-6.814746185645014+7.514877609186754e-16j),(-2.369736167267859-9.496124100754634e-16j)
183,1.83,(-0.9181636151226751+3.8653524825349453e-16j),(-5.89354841365525+1.1752285314700889e-15j),(-2.658208539102725-2.1399588336145682e-16j)
184,1.84,(-0.9865933359364003+6.598641067717625e-17j),(-6.723950494839638+4.450473834010413e-16j),(-2.921940921296552-1.2397569640570352e-16j)
185,1.85,(-1.0540327875863942+4.395608382351619e-16j),(-5.733334916181377+6.580723747923944e-16j),(-3.157921162427453+1.101410966845538e-16j)
186,1.86,(-1.1204410337656725+2.879925217505506e-16j),(-6.5841187078862715+4.4086857723722813e-16j),(-3.363562188020948-3.096289631265939e-17j)
187,1.87,(-1.1857784959802957+3.508794614462926e-16j),(-5.609349406495617+4.590456277519943e-16j),(-3.5367346722435657-5.632819252946411e-16j)
